RAC_ACTIVE_USER,443
RAC_Buffer_Cache_Hit_Ratio,444
RAC_Logical_Reads_Per_Sec,445
RAC_Physical_Reads_Per_Sec,446
RAC_Physical_Writes_Per_Sec,447
RAC_Redo_Writes_Per_Sec,448
RAC_TOTAL_USER,449
CPURatio,450
MemRatio,451
compatible,452
db_domain,453
instance_name,454
platform_name,455
startup_time,456
DBTotalVolume,457
fileInvalid,458
syncTradeNum,459
syncTradeTime,460
syncSettleData,461
syncTradeData,462
DelClientTotal,463
ClientTotal,464
TradeDownload,465
NewClientTotal,466
UrgHedgeApp,467
RuleHedgeApp,468
MemHedgeApp,469
MdLogin,470
Complete,471
LoginSuccess,472
risk_apps,473
Trade_apps,474
monitor_apps,475
Redo,476
UpdMarketData,477
NETSwitch,478
InternalError,479
XTP,480
CompareResult,481
all,482
trade_apps,483
monmquery,484
RspQryMonConnectionInfo,36969
RspQryMonFileInfo,36951
RspQryMonJDBCInfo,36955
RspQryMonMemPoolInfo,36966
RspQryMonPropertyInfo,36963
RspQryMonServletInfo,36949
RspQryMonSessionInfo,36953
RspQryMonSyslogEvent,32790
RspQryMonThreadInfo,36957
RspQryMonTomcatInfo,36945
RspQryMonVMInfo,36960
RspQryMonWebAppInfo,36947
RtnFileSendSuccess,32860
RtnMonConfigInfo,32771
RtnMonConnectionInfo,36970
RtnMonDataCenterRole,32782
RtnMonFileContent,32797
RtnMonFileInfo,36952
RtnMonFileOffset,32794
RtnMonHostBasicEnv,32800
RtnMonHostCPUAttr,32812
RtnMonHostDiskIOAttr,32833
RtnMonHostFileSysEnv,32806
RtnMonHostFileSystemAttr,32818
RtnMonHostMemAttr,32815
RtnMonHostNetworkAttr,32827
RtnMonHostNetworkEnv,32803
RtnMonHostOnlineUserInfo,32824
RtnMonHostProcessInfo,32839
RtnMonHostRouterInfo,32836
RtnMonHostStatInfo,32830
RtnMonHostSwapEnv,32809
RtnMonHostUserInfo,32821
RtnMonJDBCInfo,36956
RtnMonMemPoolInfo,36967
RtnMonProbeTask,32785
RtnMonPropertyInfo,36964
RtnMonProxyConfig,32778
RtnMonServiceStatus,32781
RtnMonServletInfo,36950
RtnMonSessionInfo,36954
RtnMonSyslogEvent,32791
RtnMonThreadInfo,36958
RtnMonTomcatInfo,36946
RtnMonVMInfo,36961
RtnMonWebAppInfo,36948
RtnMonitorDayInfo,32772
RtnSectionChange,32775
RtnSectionFinish,32774
RtnTradingDayInfo,32773
